success_index,success_time
0,13.8
1,23.5
2,20.1
3,12.3
4,45.400000000000006
5,7.9
7,43.45
13,5.65
15,44.5
16,18.45
18,9.1
20,4.15
21,26.05
22,32.0
23,14.3
24,18.35
25,14.4
27,14.25
28,44.2
29,15.700000000000001
30,38.7
32,30.55
33,12.450000000000001
34,27.75
35,33.550000000000004
36,39.1
37,45.7
38,25.700000000000003
39,16.8
40,14.55
42,25.85
44,8.05
45,12.700000000000001
47,13.4
48,7.15
49,22.75
50,18.55
53,10.15
56,29.150000000000002
57,28.700000000000003
58,26.55
60,6.75
61,9.75
62,20.950000000000003
63,11.65
65,11.0
68,6.95
70,6.95
71,41.400000000000006
73,43.050000000000004
74,17.150000000000002
75,11.15
77,8.700000000000001
78,9.35
79,39.550000000000004
80,48.300000000000004
82,13.9
83,40.85
86,19.700000000000003
89,21.6
90,27.200000000000003
91,9.8
92,6.5
94,18.85
95,7.95
97,31.85
